,odid,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
The Covenant,22630100,0.086206897,0.086206897,0.086206897,0.155172414,0.086206897,0.103448276,0.086206897,0.120689655,0.086206897,0.103448276
Fighting,22770100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216
Stay Alive,22790100,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.150943396,0.094339623,0.094339623,0.094339623,0.094339623
Revolutionary Road,22920100,0.087719298,0.043859649,0.087719298,0.070175439,0.043859649,0.043859649,0.061403509,0.140350877,0.377192982,0.043859649
The Black Dahlia,23100100,0.063291139,0.088607595,0.063291139,0.189873418,0.063291139,0.126582278,0.088607595,0.063291139,0.164556962,0.088607595
Babylon A.D.,23220100,0.068493151,0.068493151,0.068493151,0.109589041,0.109589041,0.082191781,0.205479452,0.150684932,0.068493151,0.068493151
My Super Ex-Girlfriend,23230100,0.084745763,0.186440678,0.084745763,0.101694915,0.084745763,0.101694915,0.084745763,0.084745763,0.084745763,0.101694915
Lucky Number Slevin,23280100,0.402234637,0.036312849,0.019553073,0.025139665,0.01396648,0.025139665,0.416201117,0.016759777,0.016759777,0.027932961
War,23310100,0.095890411,0.260273973,0.082191781,0.095890411,0.068493151,0.082191781,0.095890411,0.068493151,0.068493151,0.082191781
The Last Mimzy,23990100,0.133333333,0.1,0.083333333,0.083333333,0.15,0.083333333,0.083333333,0.1,0.1,0.083333333
The X-Files: I Want to,24500100,0.134328358,0.089552239,0.074626866,0.119402985,0.074626866,0.074626866,0.074626866,0.074626866,0.164179104,0.119402985
The Hills Have Eyes II,24580100,0.096153846,0.134615385,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846
Mad Money,24670100,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.127272727,0.090909091,0.090909091,0.109090909,0.127272727
The Invisible,24730100,0.125,0.089285714,0.089285714,0.142857143,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714,0.107142857
A Prairie Home Compani,24910100,0.105263158,0.087719298,0.105263158,0.087719298,0.087719298,0.087719298,0.157894737,0.105263158,0.087719298,0.087719298
Reno 911!: Miami,24920100,0.092592593,0.111111111,0.092592593,0.148148148,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593
"Gone, Baby, Gone",24940100,0.165898618,0.069124424,0.02764977,0.493087558,0.023041475,0.023041475,0.041474654,0.023041475,0.073732719,0.059907834
Pulse,24970100,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.092592593,0.111111111,0.111111111,0.111111111,0.092592593
The Spirit,25460100,0.069306931,0.059405941,0.04950495,0.04950495,0.04950495,0.475247525,0.079207921,0.059405941,0.059405941,0.04950495
Reign Over Me,25600100,0.045454545,0.063636364,0.072727273,0.081818182,0.081818182,0.063636364,0.045454545,0.054545455,0.318181818,0.172727273
Gamer,25660100,0.068493151,0.363013699,0.034246575,0.034246575,0.123287671,0.102739726,0.089041096,0.082191781,0.04109589,0.061643836
Igor,25710100,0.140625,0.078125,0.09375,0.109375,0.078125,0.078125,0.09375,0.125,0.078125,0.125
My Best Friend's Girl,25960100,0.084745763,0.101694915,0.084745763,0.101694915,0.084745763,0.084745763,0.084745763,0.084745763,0.118644068,0.169491525
Beerfest,26000100,0.087719298,0.105263158,0.087719298,0.087719298,0.087719298,0.087719298,0.140350877,0.087719298,0.105263158,0.122807018
Vacancy,26110100,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.103448276,0.103448276,0.137931034,0.137931034
Georgia Rule,26300100,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623,0.094339623,0.113207547,0.113207547,0.094339623
Akeelah and the Bee,26350100,0.073170732,0.06097561,0.12195122,0.06097561,0.073170732,0.097560976,0.06097561,0.073170732,0.292682927,0.085365854
The Marine,26360100,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547,0.113207547,0.094339623,0.113207547,0.094339623,0.094339623
Ultraviolet,26670100,0.072580645,0.088709677,0.048387097,0.040322581,0.129032258,0.209677419,0.048387097,0.274193548,0.040322581,0.048387097
Walk Hard: The Dewey C,26770100,0.05952381,0.107142857,0.071428571,0.071428571,0.071428571,0.083333333,0.071428571,0.05952381,0.095238095,0.30952381
Next,26880100,0.086705202,0.393063584,0.028901734,0.040462428,0.138728324,0.052023121,0.034682081,0.144508671,0.040462428,0.040462428
School for Scoundrels,27190100,0.090909091,0.090909091,0.090909091,0.109090909,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.145454545
The Last King of Scotl,27390100,0.035928144,0.041916168,0.02994012,0.065868263,0.041916168,0.053892216,0.107784431,0.035928144,0.556886228,0.02994012
Hostel: Part II,27470100,0.072463768,0.144927536,0.086956522,0.086956522,0.072463768,0.072463768,0.15942029,0.072463768,0.072463768,0.15942029
The Ruins,27650100,0.09375,0.109375,0.078125,0.078125,0.078125,0.078125,0.109375,0.140625,0.078125,0.15625
Just My Luck,27710100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593,0.12962963
Inkheart,27740100,0.068493151,0.123287671,0.109589041,0.232876712,0.068493151,0.068493151,0.068493151,0.123287671,0.068493151,0.068493151
Fired Up,27810100,0.086206897,0.103448276,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.137931034,0.155172414
Annapolis,27940100,0.087719298,0.087719298,0.087719298,0.087719298,0.140350877,0.105263158,0.087719298,0.087719298,0.105263158,0.122807018
88 Minutes,28230100,0.089552239,0.074626866,0.074626866,0.074626866,0.074626866,0.074626866,0.119402985,0.074626866,0.253731343,0.089552239
New in Town,28390100,0.111111111,0.12962963,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.092592593,0.092592593,0.092592593
Dead Silence,28530100,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593,0.092592593
The Hitcher,28720100,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Swing Vote,28870100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.134615385,0.096153846
Elizabeth: The Golden,28880100,0.086956522,0.101449275,0.072463768,0.072463768,0.072463768,0.072463768,0.086956522,0.072463768,0.289855072,0.072463768
Black Christmas,28920100,0.089285714,0.089285714,0.089285714,0.107142857,0.089285714,0.089285714,0.089285714,0.107142857,0.142857143,0.107142857
Marie Antoinette,29340100,0.139072848,0.052980132,0.145695364,0.052980132,0.033112583,0.17218543,0.105960265,0.039735099,0.225165563,0.033112583
Happily N'Ever After,29460100,0.094339623,0.094339623,0.132075472,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547
Pride and Glory,29500100,0.074626866,0.104477612,0.119402985,0.23880597,0.074626866,0.074626866,0.074626866,0.074626866,0.074626866,0.089552239
A Perfect Getaway,29770100,0.114285714,0.114285714,0.085714286,0.071428571,0.085714286,0.085714286,0.071428571,0.157142857,0.071428571,0.142857143
Catch and Release,29860100,0.086206897,0.120689655,0.086206897,0.103448276,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.172413793
Bangkok Dangerous,29990100,0.081967213,0.147540984,0.081967213,0.098360656,0.081967213,0.098360656,0.098360656,0.114754098,0.114754098,0.081967213
Arthur et les Minimoys,30130100,0.089285714,0.125,0.125,0.125,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714
The Invasion,30170100,0.082191781,0.150684932,0.082191781,0.164383562,0.123287671,0.068493151,0.068493151,0.123287671,0.068493151,0.068493151
"The Goods: Live Hard,",30210100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.115384615
Lions for Lambs,30380100,0.086206897,0.086206897,0.086206897,0.103448276,0.103448276,0.120689655,0.086206897,0.086206897,0.137931034,0.103448276
"I Love You, Beth Coope",30590100,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.163636364,0.109090909
Tristan & Isolde,30630100,0.075757576,0.075757576,0.121212121,0.106060606,0.075757576,0.075757576,0.090909091,0.075757576,0.166666667,0.136363636
Gake no ue no Ponyo,30720100,0.028409091,0.028409091,0.232954545,0.039772727,0.090909091,0.034090909,0.454545455,0.028409091,0.028409091,0.034090909
Everyone's Hero,30880100,0.092592593,0.111111111,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593
Hollywoodland,30990100,0.078125,0.09375,0.078125,0.09375,0.078125,0.125,0.078125,0.078125,0.203125,0.09375
Awake,31070100,0.14516129,0.129032258,0.080645161,0.080645161,0.080645161,0.080645161,0.129032258,0.080645161,0.112903226,0.080645161
Disaster Movie,31340100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.166666667
The Informant!,31470100,0.08045977,0.149425287,0.057471264,0.149425287,0.068965517,0.057471264,0.08045977,0.091954023,0.16091954,0.103448276
Hot Rod,31760100,0.069444444,0.097222222,0.069444444,0.069444444,0.069444444,0.069444444,0.069444444,0.069444444,0.097222222,0.319444444
Crank 2: High Voltage,32100100,0.044247788,0.513274336,0.044247788,0.044247788,0.053097345,0.07079646,0.088495575,0.044247788,0.044247788,0.053097345
One Night with the Kin,32340100,0.075757576,0.075757576,0.075757576,0.106060606,0.075757576,0.075757576,0.106060606,0.227272727,0.106060606,0.075757576
Ghost Town,32520100,0.060240964,0.072289157,0.096385542,0.060240964,0.072289157,0.084337349,0.060240964,0.084337349,0.060240964,0.34939759
Daddy Day Camp,32540100,0.090909091,0.109090909,0.090909091,0.109090909,0.109090909,0.090909091,0.090909091,0.109090909,0.109090909,0.090909091
Flyboys,32730100,0.090909091,0.090909091,0.090909091,0.109090909,0.109090909,0.090909091,0.109090909,0.090909091,0.109090909,0.109090909
How to Eat Fried Worms,32780100,0.087719298,0.105263158,0.140350877,0.122807018,0.087719298,0.087719298,0.087719298,0.087719298,0.087719298,0.105263158
The Pirates Who Don't,33030100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216
Shoot 'Em Up,33270100,0.048076923,0.096153846,0.144230769,0.057692308,0.096153846,0.048076923,0.096153846,0.048076923,0.221153846,0.144230769
Idlewild,33420100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.134615385,0.096153846
I Think I Love My Wife,33550100,0.092592593,0.12962963,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593
Freedomland,33590100,0.107142857,0.089285714,0.107142857,0.107142857,0.089285714,0.089285714,0.125,0.089285714,0.107142857,0.089285714
Evening,33730100,0.092592593,0.092592593,0.111111111,0.148148148,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593
Soul Men,34060100,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846
Sunshine Cleaning,34130100,0.058139535,0.069767442,0.220930233,0.058139535,0.11627907,0.081395349,0.081395349,0.069767442,0.104651163,0.139534884
Tom yum goong,34150100,0.078125,0.21875,0.09375,0.09375,0.078125,0.078125,0.109375,0.09375,0.078125,0.078125
Zoom,34430100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216
Sydney White,34490100,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.109090909,0.109090909,0.109090909,0.090909091,0.127272727
Meet Dave,34550100,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846
End of the Spear,34620100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216
The Last Kiss,34760100,0.076923077,0.092307692,0.076923077,0.123076923,0.076923077,0.076923077,0.092307692,0.107692308,0.184615385,0.092307692
The Longshots,34920100,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Something New,35010100,0.094339623,0.113207547,0.113207547,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623
Be Kind Rewind,35380100,0.052083333,0.270833333,0.239583333,0.0625,0.052083333,0.0625,0.072916667,0.052083333,0.052083333,0.083333333
In the Land of Women,35540100,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.127272727,0.127272727,0.090909091
Doomsday,35590100,0.047244094,0.070866142,0.047244094,0.05511811,0.11023622,0.05511811,0.078740157,0.456692913,0.039370079,0.039370079
The Astronaut Farmer,35610100,0.090909091,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.163636364,0.090909091
D-War,35870100,0.081967213,0.098360656,0.147540984,0.098360656,0.114754098,0.081967213,0.098360656,0.114754098,0.081967213,0.081967213
Stop-Loss,35930100,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.111111111,0.092592593,0.111111111,0.092592593
Primeval,36320100,0.081967213,0.114754098,0.081967213,0.081967213,0.098360656,0.081967213,0.114754098,0.098360656,0.163934426,0.081967213
Not Easily Broken,36330100,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Love Happens,36590100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.134615385,0.096153846
Pathfinder,36810100,0.086206897,0.103448276,0.137931034,0.103448276,0.086206897,0.086206897,0.086206897,0.086206897,0.120689655,0.103448276
U2 3D,36870100,0.094339623,0.094339623,0.132075472,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623
The Fountain,36990100,0.668376068,0.011965812,0.008547009,0.013675214,0.07008547,0.011965812,0.011965812,0.020512821,0.174358974,0.008547009
Extract,37020100,0.044247788,0.044247788,0.044247788,0.044247788,0.044247788,0.044247788,0.061946903,0.053097345,0.309734513,0.309734513
Next Day Air,37220100,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615
Penelope,37280100,0.064102564,0.064102564,0.08974359,0.230769231,0.064102564,0.205128205,0.064102564,0.064102564,0.08974359,0.064102564
Bratz,37290100,0.086206897,0.103448276,0.137931034,0.086206897,0.086206897,0.086206897,0.086206897,0.103448276,0.103448276,0.120689655
The Express,37800100,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.189655172,0.103448276
Rendition,37840100,0.104477612,0.164179104,0.089552239,0.074626866,0.074626866,0.074626866,0.074626866,0.074626866,0.179104478,0.089552239
Sorority Row,37980100,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593,0.092592593,0.111111111
Death Sentence,38070100,0.096774194,0.080645161,0.080645161,0.080645161,0.080645161,0.096774194,0.209677419,0.080645161,0.112903226,0.080645161
Smart People,38090100,0.169230769,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.092307692,0.076923077,0.2,0.076923077
Whiteout,38250100,0.116666667,0.116666667,0.083333333,0.083333333,0.1,0.083333333,0.083333333,0.166666667,0.083333333,0.083333333
Black Snake Moan,38270100,0.120879121,0.076923077,0.065934066,0.054945055,0.076923077,0.098901099,0.230769231,0.065934066,0.098901099,0.10989011
Dragonball Evolution,38290100,0.086206897,0.137931034,0.086206897,0.086206897,0.120689655,0.086206897,0.103448276,0.086206897,0.103448276,0.103448276
A Mighty Heart,38530100,0.084745763,0.203389831,0.084745763,0.084745763,0.084745763,0.084745763,0.084745763,0.084745763,0.118644068,0.084745763
Street Fighter: The Le,38580100,0.086206897,0.172413793,0.086206897,0.137931034,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897
Jennifer's Body,39170100,0.04950495,0.059405941,0.079207921,0.04950495,0.198019802,0.04950495,0.128712871,0.138613861,0.04950495,0.198019802
The Seeker: The Dark i,39220100,0.089285714,0.107142857,0.107142857,0.125,0.107142857,0.089285714,0.089285714,0.107142857,0.089285714,0.089285714
My Life in Ruins,39380100,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Death at a Funeral (2007),39500100,0.040322581,0.080645161,0.072580645,0.225806452,0.040322581,0.040322581,0.040322581,0.040322581,0.072580645,0.346774194
Sex Drive,39700100,0.064102564,0.064102564,0.076923077,0.076923077,0.076923077,0.064102564,0.064102564,0.076923077,0.076923077,0.358974359
Tenacious D in: The Pi,39860100,0.046728972,0.252336449,0.065420561,0.046728972,0.046728972,0.056074766,0.121495327,0.046728972,0.158878505,0.158878505
Cadillac Records,40110100,0.079365079,0.079365079,0.079365079,0.079365079,0.095238095,0.079365079,0.111111111,0.079365079,0.206349206,0.111111111
Delta Farce,40130100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.115384615
Hoot,40190100,0.096153846,0.096153846,0.134615385,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846
Punisher: War Zone,40290100,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.086206897,0.155172414,0.103448276,0.120689655,0.086206897
Miracle at St. Anna,40730100,0.092592593,0.12962963,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.12962963
City of Ember,40790100,0.050724638,0.043478261,0.094202899,0.347826087,0.043478261,0.043478261,0.043478261,0.166666667,0.036231884,0.130434783
The Night Listener,40830100,0.086206897,0.120689655,0.086206897,0.120689655,0.086206897,0.086206897,0.086206897,0.103448276,0.120689655,0.103448276
Slither,40870100,0.055045872,0.064220183,0.073394495,0.064220183,0.28440367,0.04587156,0.055045872,0.110091743,0.137614679,0.110091743
Expelled: No Intellige,41030100,0.052631579,0.052631579,0.052631579,0.052631579,0.136842105,0.052631579,0.052631579,0.242105263,0.252631579,0.052631579
The Collector,41060100,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.132075472,0.113207547,0.094339623,0.094339623
Over Her Dead Body,41220100,0.092592593,0.092592593,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.12962963,0.092592593
El Cantante,41250100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.12962963,0.111111111
The Martian Child,41320100,0.123076923,0.076923077,0.107692308,0.169230769,0.076923077,0.076923077,0.092307692,0.092307692,0.107692308,0.076923077
A Good Year,41460100,0.083333333,0.083333333,0.166666667,0.154761905,0.05952381,0.05952381,0.05952381,0.095238095,0.154761905,0.083333333
The Condemned,41590100,0.113207547,0.113207547,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623,0.094339623
I Know Who Killed Me,41860100,0.087719298,0.122807018,0.087719298,0.105263158,0.087719298,0.087719298,0.140350877,0.087719298,0.105263158,0.087719298
All the King's Men,41880100,0.090909091,0.121212121,0.075757576,0.136363636,0.075757576,0.106060606,0.075757576,0.075757576,0.166666667,0.075757576
Pride,42150100,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846
Turistas,42200100,0.087719298,0.105263158,0.105263158,0.087719298,0.087719298,0.087719298,0.087719298,0.087719298,0.140350877,0.122807018
Bug,42290100,0.073529412,0.088235294,0.073529412,0.073529412,0.073529412,0.073529412,0.132352941,0.102941176,0.147058824,0.161764706
Running Scared,42740100,0.103448276,0.086206897,0.086206897,0.120689655,0.086206897,0.086206897,0.086206897,0.137931034,0.103448276,0.103448276
Strange Wilderness,43260100,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.127272727,0.127272727
The Rocker,43500100,0.092592593,0.092592593,0.12962963,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.111111111,0.092592593
P2,43580100,0.127272727,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.109090909,0.109090909,0.090909091
Post Grad,43620100,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Grandma's Boy,44110100,0.074074074,0.061728395,0.061728395,0.061728395,0.061728395,0.12345679,0.061728395,0.061728395,0.061728395,0.37037037
"Run, Fatboy, Run",44250100,0.069444444,0.083333333,0.069444444,0.25,0.083333333,0.069444444,0.069444444,0.083333333,0.097222222,0.125
Basic Instinct 2,44650100,0.087719298,0.122807018,0.087719298,0.087719298,0.087719298,0.105263158,0.157894737,0.087719298,0.087719298,0.087719298
The Last Legion,44660100,0.090909091,0.090909091,0.163636364,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.109090909,0.090909091
The Perfect Holiday,44910100,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846
Lucky You,45050100,0.094339623,0.150943396,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623
Let's Go to Prison,45540100,0.092592593,0.12962963,0.092592593,0.111111111,0.092592593,0.092592593,0.111111111,0.092592593,0.092592593,0.092592593
A Scanner Darkly,45610100,0.181818182,0.386363636,0.059659091,0.099431818,0.056818182,0.036931818,0.028409091,0.025568182,0.025568182,0.099431818
Bandslam,46060100,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
The Libertine,46940100,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.32,0.066666667,0.146666667,0.066666667
In the Name of the Kin,47080100,0.081967213,0.229508197,0.081967213,0.098360656,0.081967213,0.081967213,0.081967213,0.081967213,0.098360656,0.081967213
College,47280100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.134615385,0.096153846
Love in the Time of Ch,47400100,0.107142857,0.107142857,0.089285714,0.107142857,0.089285714,0.089285714,0.107142857,0.089285714,0.107142857,0.107142857
Deception,47520100,0.106060606,0.075757576,0.075757576,0.151515152,0.075757576,0.136363636,0.121212121,0.075757576,0.075757576,0.106060606
Miss March,47660100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059
Flash of Genius,47930100,0.085714286,0.1,0.085714286,0.085714286,0.071428571,0.114285714,0.071428571,0.071428571,0.171428571,0.142857143
Catch a Fire,48350100,0.1,0.1,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.216666667,0.083333333
Goal! The Dream Begins,48380100,0.090909091,0.090909091,0.127272727,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.145454545,0.090909091
Van Wilder Deux: The R,48430100,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714,0.107142857,0.089285714,0.107142857,0.089285714,0.160714286
Ladron que roba a ladr,49090100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216
Charlie Bartlett,49470100,0.048076923,0.067307692,0.144230769,0.067307692,0.086538462,0.153846154,0.076923077,0.048076923,0.115384615,0.192307692
Blood and Chocolate,50540100,0.086206897,0.086206897,0.086206897,0.120689655,0.103448276,0.086206897,0.086206897,0.155172414,0.086206897,0.103448276
The Feast of Love,50590100,0.103448276,0.086206897,0.103448276,0.103448276,0.086206897,0.086206897,0.086206897,0.086206897,0.120689655,0.137931034
The Ultimate Gift,50830100,0.092592593,0.092592593,0.12962963,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.092592593
Things We Lost in the,51200100,0.109375,0.078125,0.109375,0.09375,0.078125,0.078125,0.09375,0.078125,0.15625,0.125
Resurrecting the Champ,51520100,0.089285714,0.107142857,0.089285714,0.107142857,0.089285714,0.107142857,0.107142857,0.089285714,0.125,0.089285714
The Ex,51740100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216
Blindness,51830100,0.120879121,0.131868132,0.054945055,0.087912088,0.054945055,0.065934066,0.065934066,0.252747253,0.10989011,0.054945055
How to Lose Friends &,53010100,0.060240964,0.060240964,0.060240964,0.228915663,0.156626506,0.13253012,0.084337349,0.060240964,0.072289157,0.084337349
Captivity,53250100,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846
You Kill Me,54040100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216
BloodRayne,54100100,0.078125,0.125,0.078125,0.078125,0.09375,0.078125,0.09375,0.171875,0.09375,0.109375
Perfume: The Story of,54810100,0.187134503,0.245614035,0.035087719,0.134502924,0.029239766,0.093567251,0.157894737,0.029239766,0.040935673,0.046783626
Battle for Terra,57490100,0.090909091,0.090909091,0.109090909,0.090909091,0.163636364,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
The Good German,59180100,0.093333333,0.08,0.066666667,0.093333333,0.066666667,0.066666667,0.12,0.066666667,0.186666667,0.16
Find Me Guilty,60110100,0.081967213,0.081967213,0.081967213,0.147540984,0.081967213,0.081967213,0.114754098,0.081967213,0.163934426,0.081967213
The Final Season,60230100,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623,0.113207547,0.094339623,0.113207547,0.094339623
Infamous,60310100,0.083333333,0.133333333,0.083333333,0.116666667,0.133333333,0.1,0.083333333,0.083333333,0.083333333,0.1
September Dawn,62540100,0.090909091,0.109090909,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.109090909,0.127272727,0.090909091
The Brothers Solomon,62560100,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.145454545
DOA: Dead or Alive,67470100,0.078125,0.234375,0.078125,0.078125,0.09375,0.09375,0.09375,0.09375,0.078125,0.078125
Wristcutters: A Love S,68160100,0.154761905,0.029761905,0.05952381,0.047619048,0.029761905,0.06547619,0.464285714,0.029761905,0.071428571,0.047619048
Fido,71810100,0.046296296,0.046296296,0.055555556,0.046296296,0.064814815,0.046296296,0.083333333,0.324074074,0.055555556,0.231481481
Rise: Blood Hunter,79650100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.12962963,0.092592593,0.111111111
Renaissance,83460100,0.075757576,0.151515152,0.136363636,0.090909091,0.075757576,0.090909091,0.136363636,0.075757576,0.090909091,0.075757576
Nothing But the Truth,101070100,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.150943396,0.094339623
Nanny McPhee and the B,104430100,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615
Sex and the City 2,104560100,0.087719298,0.105263158,0.087719298,0.087719298,0.105263158,0.087719298,0.087719298,0.105263158,0.140350877,0.105263158
The Rum Diary,104890100,0.063291139,0.063291139,0.063291139,0.139240506,0.063291139,0.063291139,0.126582278,0.139240506,0.202531646,0.075949367
Everybody's Fine,105130100,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846
Inception,105240100,0.953802126,0.004497138,0.003270646,0.003270646,0.021668029,0.002452984,0.002044154,0.002861815,0.003679477,0.002452984
